index_cpd	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	gene_symbol_of_protein_target	target_or_activity_of_compound	compound_cluster_id	cpd_smiles	master_cpd_id
317	CAL-101	BRD-K60866521	66	clinical	PIK3CD	inhibitor of PI3K catalytic subunit delta	84;97;281;431;460;465;474;475;479	CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1	660430
318	Mdivi-1	BRD-K61128465	66	probe	DNM1	inhibitor of dynamin 1; inhibitor of mitrochondrial division inhibitor	163;331;410;438;445;467;475;479	COc1cc(c(Cl)cc1Cl)-n1c(=S)[nH]c2ccccc2c1=O	215497
319	BRD-K61166597	BRD-K61166597	66	probe		inhibitor of HDAC1 and HDAC2	23;66;93;155;238;297;392;439;457;461;467;475;479	Nc1ccc(cc1NC(=O)c1ccc(cc1)C(=O)NCCc1ccncc1)-c1cccs1	348633
320	SB-225002	BRD-K61323504	37	probe	CXCR2	inhibitor of chemokine receptor 2	35;60;75;85;199;227;336;358;372;425;447;476;478;479	Oc1cc(ccc1NC(=O)Nc1ccccc1Br)[N+]([O-])=O	52123
321	CAY10594	BRD-K61662457	66	probe	PLD2	inhibitor of phospholipase D2	294;383;450;471;477	O=C(NCCN1CCC2(CC1)N(CNC2=O)c1ccccc1)c1ccc2ccccc2c1	411824
322	Compound 7d-cis	BRD-K61829047	33	probe	XPO1	inhibitor of CRM1-mediated nucleocytoplasmic transport	130;192;282;356;432;451;454;470;474;475;479	CCOC(=O)\C=C/n1nnc(n1)-c1cccc(Cl)c1	411805
323	SB-743921	BRD-K62358710	33	clinical	KIF11	inhibitor of kinesin 11	24;39;50;75;85;199;227;336;358;372;425;447;476;478;479	CC(C)[C@H](N(CCCN)C(=O)c1ccc(C)cc1)c1oc2cc(Cl)ccc2c(=O)c1Cc1ccccc1	660238
324	ABT-199	BRD-K62391742	66	clinical	BCL2	inhibitor of BCL2	229;369;417;437;449;461;467;475;479	CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1	666541
325	neopeltolide	BRD-K62479592	33	probe		inhibitor of cellular respiration	298;424;442;456;466;469;472;476;478;479	CCC[C@H]1C[C@H](C[C@H](C)C[C@@H]2C[C@H](C[C@H](CC(=O)O1)O2)OC(=O)\C=C/CCc1coc(\C=C/CNC(=O)OC)n1)OC	411774
326	BRD1835	BRD-K62801835	130	probe	EZH2	product of diversity oriented synthesis; screening hit	232;306;331;410;438;445;467;475;479	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(O)=O)Oc2cc(ccc2S1(=O)=O)C#CCC1CCCC1	404070
327	BRD-K70511574	BRD-K62825658	66	probe	PLK1	inhibitor of polo-like kinase 1 (PLK1)	18;31;60;75;85;199;227;336;358;372;425;447;476;478;479	COc1ccc(cc1)S(=O)(=O)N(C(=O)C)c2ccccc2C=Cc3cc[n+]([O-])cc3	648987
328	tipifarnib-P2	BRD-K62965247	33	probe	FNTA	inhibitor of farnesyltransferase	130;192;282;356;432;451;454;470;474;475;479	Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2n(C)c(=O)cc(-c3cccc(Cl)c3)c2c1	417416
329	ZSTK474	BRD-K63068307	66	clinical	PIK3CB;PIK3CD;PIK3CG	inhibitor of PI3K catalytic subunits beta, delta, and gamma	46;80;107;134;284;380;421;438;445;467;475;479	FC(F)c1nc2ccccc2n1-c1nc(nc(n1)N1CCOCC1)N1CCOCC1	606144
330	tipifarnib-P1	BRD-K63195589	33	clinical	FNTA	inhibitor of farnesyltransferase	183;262;338;363;462;471;477	Cn1cncc1[C@](N)(c1ccc(Cl)cc1)c1ccc2n(C)c(=O)cc(-c3cccc(Cl)c3)c2c1	417417
331	BRD-K63431240	BRD-K63431240	66	probe		product of diversity oriented synthesis; screening hit	180;325;396;439;457;461;467;475;479	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccncc1	404566
332	barasertib	BRD-K63923597	66	clinical	AURKB	inhibitor of aurora kinase B	45;154;240;312;404;423;445;467;475;479	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1	601923
333	gefitinib	BRD-K64052750	66	FDA	AKT1;EGFR	inhibitor of EGFR and AKT1	30;79;102;168;202;355;431;460;465;474;475;479	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1	52926
334	necrosulfonamide	BRD-K64117221	66	probe		inhibitor of downstream signaling of RIP3 associated with MLKL	295;394;437;449;461;467;475;479	COc1nccnc1NS(=O)(=O)c1ccc(NC(=O)\C=C\c2ccc(s2)[N+]([O-])=O)cc1	677522
335	MI-1	BRD-K64497429	33	probe	MEN1	binder of menin; inhibitor of menin-MLL fusion protein	63;289;395;411;446;460;465;474;475;479	CC1(C)CN=C(S1)N1CCN(CC1)c1ncnc2sc3CCCCc3c12	185987
336	apicidin	BRD-K64606589	33	probe	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	38;62;93;155;238;297;392;439;457;461;467;475;479	CC[C@@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)CC)NC(=O)[C@H]2CCCCN2C1=O	61097
337	BRD-K64610608	BRD-K64610608	33	probe		product of diversity oriented synthesis; screening hit	157;212;316;368;429;468;477	COc1ccc(cc1)S(=O)(=O)N(C)C[C@@H]1Oc2c(NC(=O)Nc3cccc4ccccc34)cccc2C(=O)N(C[C@H]1C)[C@@H](C)CO	438776
338	tretinoin	BRD-K64634304	130	FDA	RARA;RARB;RARG	agonist of retinoid acid receptors	74;210;300;349;377;427;446;460;465;474;475;479	CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C	23151
339	Ko-143	BRD-K64642496	130	probe	ABCG2	inhibitor of breast cancer resistance protein multidrug transporter (BCRP)	138;186;288;395;411;446;460;465;474;475;479	COc1ccc2c3C[C@@H]4N([C@@H](CC(C)C)c3[nH]c2c1)C(=O)[C@H](CCC(=O)OC(C)(C)C)NC4=O	418172
340	TG-100-115	BRD-K64785675	66	clinical	PIK3CD;PIK3CG	inhibitor of PI3K catalytic subunits delta and gamma	281;431;460;465;474;475;479	Nc1nc(N)c2nc(-c3cccc(O)c3)c(nc2n1)-c1cccc(O)c1	606470
341	PHA-793887	BRD-K64800655	66	clinical	CDK1;CDK2;CDK4;CDK5;CDK7;CDK9	inhibitor of cyclin-dependent kinases	48;105;166;257;315;372;425;447;476;478;479	CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C	640007
342	BI-2536	BRD-K64890080	33	clinical	PLK1	inhibitor of polo-like kinase 1 (PLK1)	7;50;75;85;199;227;336;358;372;425;447;476;478;479	CC[C@H]1N(C2CCCC2)c2nc(Nc3ccc(cc3OC)C(=O)NC3CCN(C)CC3)ncc2N(C)C1=O	347813
343	semagacestat	BRD-K65592642	66	clinical	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	178;373;433;451;454;470;474;475;479	CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1c2ccccc2CCN(C)C1=O	660341
344	AZD1480	BRD-K65928735	66	clinical	JAK1;JAK2	inhibitor of Janus kinases 1 and 2	274;367;417;437;449;461;467;475;479	C[C@H](Nc1ncc(Cl)c(Nc2cc(C)[nH]n2)n1)c1ncc(F)cn1	660306
345	afatinib	BRD-K66175015	66	clinical	EGFR;ERBB2	inhibitor of EGFR and HER2	13;21;47;59;79;102;168;202;355;431;460;465;474;475;479	CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1	606135
346	KH-CB19	BRD-K66430217	17	probe	CLK1;CLK4	inhibitor of CDC2-like kinases 1 and 4	419;452;462;471;477	CCOC(=O)c1c(C(=CN)C#N)c2ccc(Cl)c(Cl)c2n1C	660085
347	BRD-K66453893	BRD-K66453893	66	GE-active		product of diversity oriented synthesis	26;29;31;60;75;85;199;227;336;358;372;425;447;476;478;479	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(Cl)cc2)Oc2ccc(NC(=O)CCC(F)(F)F)cc2CC1=O	387472
348	BRD-K66532283	BRD-K66532283	66	probe	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	156;297;392;439;457;461;467;475;479	Nc1ccc(cc1NC(=O)C1=CCCC1)-c1cccs1	376693
349	pifithrin-alpha	BRD-K66874953	230	probe		inhibitor of p53-dependent signaling	286;386;409;450;471;477	Cc1ccc(cc1)C(=O)Cn1c2CCCCc2sc1=N	50747
350	Compound 23 citrate	BRD-K67112618	33	probe		analog of natural product cortistatin	147;213;287;313;371;430;457;461;467;475;479	CN(C)[C@H]1CC[C@H]2[C@@H](CC[C@H]3[C@@H]4CC=C(c5ccc6cnccc6c5)[C@@]4(C)CC[C@H]23)C1	417451
351	SB-431542	BRD-K67298865	66	probe	TGFBR1	inhibitor of the transforming growth factor beta type 1 receptor	254;419;452;462;471;477	NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccccn1)-c1ccc2OCOc2c1	50753
352	KU-0063794	BRD-K67566344	66	probe	MTOR	inhibitor of mTOR	27;68;153;370;380;421;438;445;467;475;479	COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1C[C@H](C)O[C@H](C)C1)N1CCOCC1	606363
353	GDC-0879	BRD-K67578145	66	probe	BRAF	inhibitor of BRAF	177;283;420;455;464;469;472;476;478;479	OCCn1cc(c(n1)-c1ccncc1)-c1ccc2c(CC\C2=N/O)c1	606248
354	pevonedistat	BRD-K67844266	37	clinical	NAE1	inhibitor of Nedd-8 activating enzyme	243;344;410;438;445;467;475;479	NS(=O)(=O)OC[C@@H]1C[C@H](C[C@@H]1O)n1ccc2c(N[C@H]3CCc4ccccc34)ncnc12	411809
355	PI-103	BRD-K67868012	37	probe	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC	inhibitor of DNA-PK, PI3K p110 delta, mTORC1, and catalytic subunits of PI3K	161;260;374;403;449;461;467;475;479	Oc1cccc(c1)-c1nc(N2CCOCC2)c2oc3ncccc3c2n1	411742
356	MK-2206	BRD-K68065987	33	clinical	AKT1	inhibitor of AKT1	80;107;134;284;380;421;438;445;467;475;479	NC1(CCC1)c1ccc(cc1)-c1nc2ccn3c(n[nH]c3=O)c2cc1-c1ccccc1	377381
357	NSC95397	BRD-K68143200	33	probe	CDC25A;CDC25B;CDC25C	inhibitor of cell division cycle 25 phosphatase (CDC25)	123;187;215;304;376;394;437;449;461;467;475;479	OCCSC1=C(SCCO)C(=O)c2ccccc2C1=O	50715
358	BRD8958	BRD-K68548958	66	probe	EP300	inhibitor of E1A binding protein p300	275;361;384;429;468;477	CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O	418163
359	alvocidib	BRD-K68682020	66	clinical	CDK1;CDK2;CDK4;CDK6	inhibitor of cyclin-dependent kinases	11;145;166;257;315;372;425;447;476;478;479	CN1CC[C@H]([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl	687720
360	tacrolimus	BRD-K69608737	74	FDA	PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2	inhibitor of calcineurin	255;360;423;445;467;475;479	CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC	50737
361	ISOX	BRD-K69840642	33	probe	HDAC6	inhibitor of HDAC6	38;62;93;155;238;297;392;439;457;461;467;475;479	CC(C)(C)OC(=O)Nc1ccc(cc1)-c1cc(no1)C(=O)NCCCCCCC(=O)NO	632907
362	AZD8055	BRD-K69932463	66	clinical	MTOR	inhibitor of mTOR	27;68;153;370;380;421;438;445;467;475;479	COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1CCOC[C@@H]1C)N1CCOC[C@@H]1C	609639
363	CIL55A	BRD-K69982010	80	probe		screening hit	379;401;425;447;476;478;479	CN(C)CCNC(=O)c1cc2CSc3ccc(Cl)cc3-c2s1	609061
364	ibrutinib	BRD-K70301465	66	clinical	BTK	inhibitor of Bruton's tyrosine kinase	86;103;202;355;431;460;465;474;475;479	Nc1ncnc2n(nc(-c3ccc(Oc4ccccc4)cc3)c12)[C@@H]1CCCN(C1)C(=O)C=C	660994
365	erlotinib	BRD-K70401845	66	FDA	EGFR;ERBB2	inhibitor of EGFR and HER2	30;79;102;168;202;355;431;460;465;474;475;479	COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC	52928
366	ML312	BRD-K70809902	66	probe	SCARB1	inhibitor of scavenger receptor class B, member 1 (SCARB1)-mediated lipid uptake	290;341;388;436;470;474;475;479	CC(C)NC(=O)Nc1ccc2O[C@@H](CN(C)S(=O)(=O)c3ccc(Cl)cc3)[C@H](C)CN([C@H](C)CO)C(=O)c2c1	434195
367	masitinib	BRD-K71035033	66	clinical	KIT;PDGFRA;PDGFRB	inhibitor of c-KIT, PDGFRA, and PDGFRB	78;206;407;430;457;461;467;475;479	CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nc(cs3)-c3cccnc3)c2)CC1	606143
368	SNX-2112	BRD-K71281111	37	probe	HSP90AA1;HSP90B1	inhibitor of HSP90alpha and HSP90beta	49;127;358;372;425;447;476;478;479	CC1(C)Cc2c(c(nn2-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)C(F)(F)F)C(=O)C1	362338
369	KPT185	BRD-K71467466	66	probe	XPO1	inhibitor of exportin 1	144;179;222;260;374;403;449;461;467;475;479	COc1cc(cc(c1)C(F)(F)F)-c1ncn(\C=C/C(=O)OC(C)C)n1	660935
370	Ch-55	BRD-K71487808	66	probe	RARA;RARB;RARG	agonist of retinoid acid receptors	74;210;300;349;377;427;446;460;465;474;475;479	CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(=O)\C=C\c1ccc(cc1)C(O)=O	660137
371	N9-isopropylolomoucine	BRD-K71726959	400	probe	CCNB1;CDK1;CDK5;CDK5R1	inhibitor of CDK1/cyclin B and CDK5/p35 complexes	174;242;272;315;372;425;447;476;478;479	CC(C)n1cnc2c(NCc3ccccc3)nc(NCCO)nc12	45093
372	BRD-K71781559	BRD-K71781559	66	probe		screening hit	420;455;464;469;472;476;478;479	OC(=O)c1ccc(NCc2nc3cc4ccccc4cc3[nH]2)cc1	425733
373	BRD-K71935468	BRD-K71935468	83	probe		inducer of ROS	17;411;446;460;465;474;475;479	COC(=O)C(CC#Cc1ccc2NC(=O)[C@@]3([C@H]([C@H]4N([C@H]3c3ccccc3OCCO)[C@@H]([C@@H](OC4=O)c3ccccc3)c3ccccc3)C(=O)N3CCN(CC3)c3ncccn3)c2c1)C(=O)OC	58566
374	QW-BI-011	BRD-K72264770	33	probe	EHMT2	inhibitor of G9a histone methyltransferase	353;399;444;472;476;478;479	COC(=O)c1ccc2n(CCCc3ccccc3)c(NC(=O)c3ccccc3)nc2c1	362063
375	WZ4002	BRD-K72420232	33	probe	EGFR	inhibitor of EGFR targeting T790M resistance	103;202;355;431;460;465;474;475;479	COc1cc(ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)C=C)c2)n1)N1CCN(C)CC1	640366
376	BRD1812	BRD-K73261812	66	probe		screening hit	158;237;327;391;418;442;456;466;469;472;476;478;479	Oc1ccc(C[C@@H]2N3[C@H](CN(Cc4cccc5ccccc45)C2=O)N(CCC3=O)C(=O)NCc2ccccc2)cc1	418162
377	purmorphamine	BRD-K73397362	150	probe	SMO	activator of smoothened receptor	286;386;409;450;471;477	C1CCC(CC1)n1cnc2c(Nc3ccc(cc3)N3CCOCC3)nc(Oc3cccc4ccccc34)nc12	52576
378	BIRB-796	BRD-K74065929	66	probe	MAPK11;MAPK11;MAPK14	inhibitor of p38 MAPK	318;366;440;458;465;474;475;479	Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C	660412
379	curcumin	BRD-K74148702	170	clinical		natural product; modulator of ROS; modulator of NF-kappa-B signaling	162;246;299;344;410;438;445;467;475;479	COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O	28452
380	UNC0321	BRD-K74236984	33	probe	EHMT2	inhibitor of G9a histone methyltransferase	63;289;395;411;446;460;465;474;475;479	COc1cc2c(NC3CCN(C)CC3)nc(nc2cc1OCCOCCN(C)C)N1CCCN(C)CC1	635576
381	NSC632839	BRD-K37392901	33	probe	USP13;USP5	inhibitor of ubiquitin isopeptidase	144;179;222;260;374;403;449;461;467;475;479	Cc1ccc(C=C2CNCC(=Cc3ccc(C)cc3)C2=O)cc1	375594
382	pazopanib	BRD-K74514084	66	FDA	FLT1;FLT3;KDR;KIT;PDGFRB	inhibitor of VEGFRs, c-KIT, and PDGFRB	52;181;221;347;421;438;445;467;475;479	CN(c1ccc2c(C)n(C)nc2c1)c1ccnc(Nc2ccc(C)c(c2)S(N)(=O)=O)n1	640265
383	BRD-K75293299	BRD-K75293299	66	GE-active		product of diversity oriented synthesis	151;195;271;308;382;434;454;470;474;475;479	C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2c(NC(=O)c3ccncc3)cccc2C1=O	438691
384	alisertib	BRD-K75295174	66	clinical	AURKA;AURKB	inhibitor of aurora kinases A and B	45;154;240;312;404;423;445;467;475;479	COc1cc(Nc2ncc3CN=C(c4cc(Cl)ccc4-c3n2)c2c(F)cccc2OC)ccc1C(O)=O	636711
385	XL765	BRD-K75308783	66	clinical	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC	inhibitor of mTOR and PI3K kinase acitivities	249;387;412;434;454;470;474;475;479	COc1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)c(OC)c3)cc2)cc(OC)c1	660304
386	IC-87114	BRD-K75430629	66	probe	PIK3CD	inhibitor of PI3K catalytic subunit delta	343;413;444;472;476;478;479	Cc1ccccc1-n1c(Cn2cnc3c(N)ncnc23)nc2cccc(C)c2c1=O	55307
387	JW-74	BRD-K75664313	66	probe		inhibitor of WNT signaling	218;241;388;436;470;474;475;479	COc1ccc(cc1)-n1c(SCc2nc(no2)-c2ccc(C)cc2)nnc1-c1ccncc1	676728
388	omacetaxine mepesuccinate	BRD-K76674262	66	FDA		inhibitor of protein translation by preventing protein elongation	114;257;315;372;425;447;476;478;479	COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]1[C@H]2c3cc4OCOc4cc3CCN3CCC[C@]23C=C1OC	375219
389	YM-155	BRD-K76703230	1	clinical	BIRC5	inhibitor of survivin expression	267;327;391;418;442;456;466;469;472;476;478;479	COCCn1c2c(C(=O)c3ccccc3C2=O)[n+](Cc2cnccn2)c1C	417979
390	A-804598	BRD-K76894955	66	probe	P2RX7	inhibitor of purinergic receptor P2X	265;405;448;468;477	C[C@H](\N=C(\NC#N)Nc1cccc2ncccc12)c1ccccc1	661033
391	EX-527	BRD-K76964878	80	clinical	SIRT1	inhibitor of sirtuin 1	131;326;363;462;471;477	NC(=O)[C@H]1CCCc2c1[nH]c1ccc(Cl)cc21	608999
392	vandetanib	BRD-K77625799	66	FDA	EGFR;KDR	inhibitor of VEGFR2 and EGFR	59;79;102;168;202;355;431;460;465;474;475;479	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1	349002
393	entinostat	BRD-K77908580	66	clinical	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	66;93;155;238;297;392;439;457;461;467;475;479	Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1	60218
394	LY-2157299	BRD-K78118466	66	probe	TGFBR1	inhibitor of the transforming growth factor beta type 1 receptor	291;314;441;459;473;478;479	Cc1cccc(n1)-c1nn2CCCc2c1-c1ccnc2ccc(cc12)C(N)=O	660431
395	crizotinib	BRD-K78431006	66	FDA	ALK;MET	inhibitor of c-MET and ALK	137;198;293;370;380;421;438;445;467;475;479	C[C@@H](Oc1cc(cnc1N)-c1cnn(c1)C1CCNCC1)c1c(Cl)ccc(F)c1Cl	628603
396	BRD-K78574327	BRD-K78574327	66	GE-active		product of diversity oriented synthesis	119;191;321;354;435;459;473;478;479	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)CC2CC2)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O	435898
397	manumycin A	BRD-K78599730	30	probe	FNTA;FNTB	inhibitor of RAS farnesyltransferase	123;187;215;304;376;394;437;449;461;467;475;479	CCCC[C@@H](C)\C=C(C)\C=C(/C)C(=O)NC1=C[C@@](O)(\C=C\C=C\C=C\C(=O)NC2C(=O)CCC2=O)[C@@H]2O[C@@H]2C1=O	50727
398	MLN2238	BRD-K78659596	33	clinical	PSMB5	inhibitor of 20S proteasome at the chymotrypsin-like proteolytic (beta-5) site	8;171;379;401;425;447;476;478;479	CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O	632873
399	GSK4112	BRD-K78667050	66	probe	NR1D1	antagonist of Rev-ErbAalpha	204;377;427;446;460;465;474;475;479	CC(C)(C)OC(=O)CN(Cc1ccc(s1)[N+]([O-])=O)Cc1ccc(Cl)cc1	660081
400	KHS101	BRD-K78978711	66	probe	TACC3	binder of TACC3, a component of the centrosome and mitotic spindle	139;298;424;442;456;466;469;472;476;478;479	CC(C)CNc1ccnc(NCc2csc(n2)-c2ccccc2)n1	660819
401	PF-573228	BRD-K79239947	66	probe	PTK2	inhibitor of focal adhesion kinase	198;293;370;380;421;438;445;467;475;479	CS(=O)(=O)c1cccc(CNc2nc(Nc3ccc4NC(=O)CCc4c3)ncc2C(F)(F)F)c1	660075
402	decitabine	BRD-K79254416	66	FDA	DNMT1	inhibitor of DNA methyltransferase	196;276;385;422;447;476;478;479	Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1	347775
403	PF-543	BRD-K79877282	33	probe	SPHK1	inhibitor of sphingosine kinase-1	197;313;371;430;457;461;467;475;479	Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1	660073
404	BRD-K80183349	BRD-K80183349	66	probe	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	156;297;392;439;457;461;467;475;479	CC(=O)N1CCC(CC1)C(=O)Nc1cc(ccc1N)-c1cccs1	376307
405	ML203	BRD-K80672993	37	probe	PKM	activator of muscle pyruvate kinase (PKM2)	136;250;359;452;462;471;477	Nc1cccc(c1)S(=O)(=O)N1CCCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1	411816
406	etomoxir	BRD-K81335284	300	clinical	CPT1A	inhibitor of carnitine palmitoyltransferase	233;382;434;454;470;474;475;479	OC(=O)[C@@]1(CCCCCCOc2ccc(Cl)cc2)CO1	660082
407	vorinostat	BRD-K81418486	33	FDA	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	62;93;155;238;297;392;439;457;461;467;475;479	ONC(=O)CCCCCCC(=O)Nc1ccccc1	56554
408	silmitasertib	BRD-K81458380	66	clinical	CSNK2A1;CSNK2A2	inhibitor of casein kinase 2	100;190;228;345;383;450;471;477	OC(=O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc21	660421
409	tanespimycin	BRD-K81473043	33	clinical	HSP90AA1	inhibitor of HSP90	49;127;358;372;425;447;476;478;479	CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O	50134
410	ML320	BRD-K81491172	66	probe	GSK3B	inhibitor of GSK3 beta	324;402;453;466;469;472;476;478;479	COc1ccccc1[C@H]1c2c(NC3=C1C(=O)CC(C)(C)C3)n[nH]c2C(F)(F)F	659682
411	nilotinib	BRD-K81528515	66	FDA	ABL1;BCR;KIT	inhibitor of ABL1, BCR, and c-KIT	206;407;430;457;461;467;475;479	Cc1cn(cn1)-c1cc(NC(=O)c2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)cc(c1)C(F)(F)F	374749
412	parthenolide	BRD-K81651477	66	probe		natural product; modulator of ROS; modulator of NF-kappa-B signaling	128;141;183;262;338;363;462;471;477	C\C1=C\CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1	411792
413	WZ8040	BRD-K81728688	66	probe	EGFR	inhibitor of EGFR targeting T790M resistance	168;202;355;431;460;465;474;475;479	CN1CCN(CC1)c1ccc(Nc2ncc(Cl)c(Sc3cccc(NC(=O)C=C)c3)n2)cc1	628614
414	vincristine	BRD-K82109576	130	FDA		inhibitor of mictrotubule assembly	10;19;39;50;75;85;199;227;336;358;372;425;447;476;478;479	CC[C@]1(O)C[C@@H]2CN(C1)CCc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C=O)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC	62602
415	navitoclax	BRD-K82746043	33	clinical	BCL2;BCL2L1;BCL2L2	inhibitor of BCL2, BCL-xL, and BCL-W	28;229;369;417;437;449;461;467;475;479	CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1	362342
416	PF-750	BRD-K83213911	270	probe	FAAH	inhibitor of fatty acid amide hydrolase	104;188;273;381;418;442;456;466;469;472;476;478;479	O=C(Nc1ccccc1)N1CCC(Cc2cnc3ccccc3c2)CC1	411719
417	CAY10618	BRD-K83289131	33	probe	NAMPT	inhibitor of nicotinamide phosphoribosyltransferase	3;16;43;217;385;422;447;476;478;479	O=C(CCCCCCCn1cc(nn1)-c1cccnc1)Nc1ccccc1-c1ccccc1	632104
418	PL-DI	BRD-K83336168	66	probe		dimer of piperlongumine; inducer of ROS	120;159;215;304;376;394;437;449;461;467;475;479	COc1cc(\C=C\C(=O)N2CCC=CC2=O)cc(OC)c1OCCN(C)CCOc1c(OC)cc(\C=C\C(=O)N2CCC=CC2=O)cc1OC	609440
419	skepinone-L	BRD-K83607951	66	probe	MAPK14	inhibitor of p38 MAPK	266;346;398;440;458;465;474;475;479	OC[C@@H](O)COc1ccc2CCc3cc(Nc4ccc(F)cc4F)ccc3C(=O)c2c1	688799
420	nelarabine	BRD-K84466663	66	FDA	POLA1	deoxyguanosine analog; inhibitor of DNA synthesis	212;316;368;429;468;477	COc1nc(N)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	660391
